Label ID,Name,Specialization,Status,Country,Website,Online Shopping
16530,Millenium Eight Records,Christian Music,closed,United States,,
875,Millenium Metal Music,Black Metal,closed,Germany,,
26297,Millenium of Glory Records,,closed,Brazil,,
40474,Millenium Record Label,,closed,United States,,
2957,Millenium Records,,closed,Poland,,
55466,Millenium Records,,unknown,Slovakia,,
60961,Millenium Records,,unknown,United States,,
35786,Millennial Visions,Black Metal,active,Germany,,
57649,Millennium Nocturne Productions,"Black  Metal,  Death Metal,  Doom Metal",active,Brazil,,
4383,Millennium Records,,closed,Brazil,,
34827,Milletlerarası Müzik Yayınları,,unknown,Türkiye,,
28736,MilliePeed Records,,unknown,United Kingdom,,
64509,Million Dollar Performances,,active,,,
8413,Mils,,closed,,,
38258,MILS Music,,closed,Poland,,
39673,Miltastic Music,,active,Norway,,
60025,Miltoneladas Records,,active,Argentina,,
52363,Milwaukee Junction Records,,active,United States,,
53928,Mim Records,,unknown,Russia,,
59898,Mima Kass,"Harsh Noise, Raw Black Metal, Hardcore Punk",active,Sweden,https://mimakass.bandcamp.com,Yes
16535,Mime,,unknown,,,
16536,Mimer's Well,,unknown,Denmark,,
60754,MiMo Sound Records & Publishing,"Rock, Metal, Instrumental, Punk, Symphonic, Jazz",active,Sweden,http://www.mimosound.se/,
16537,Mimosound,,closed,,,
47027,Minasong Music Company,,unknown,Germany,,
16539,Mince Act Records,,closed,Malaysia,,
32430,Mincemeat Productions,,active,United States,,
47519,Minche Mapu Records,,active,Chile,,
3579,Mind Boggler Records,Heavy Metal,active,United States,,
4384,Mind Control Records,"Punk, Hardcore, Crust, Crossover",closed,United States,,
33287,Mind Control Records,"Punk, Hardcore, Doom, Stoner",unknown,Germany,http://epdmc.com/Mind-Control-Releases,
44397,Mind Control Records,"Hardcore, Grindcore, Metal",closed,Germany,,
8412,Millennium Lagoon Records,Progressive Rock/Metal,active,Norway,http://www.lagoon.no/,Yes
53452,Mind Control Records (fake),,unknown,Russia,,
28776,Mind Corrosion Records,,active,Spain,,
34824,Mind Cure Records,,active,United States,http://mindcurerecords.com/,
27675,Mind Disease Records,,active,United States,,
48171,Mind Farm,,unknown,United States,,
58178,Mind In Motion Recordings,,unknown,,,
16541,Mind Machine,,closed,,,
46457,Mind Melt Enterprises,,closed,United States,,
55064,Mind Music,Metal,active,Paraguay,,
16542,Mind over Matter Records,"Punk, Hardcore, Emo, Indie Rock",active,United States,http://www.mindovermatterrecords.com/home.html,Yes
48570,Mind Records,,unknown,Sweden,,
37659,Mind Ripper Collective,"Powerviolence, Grindcore, Hardcore",active,United Kingdom,https://mindrippercollective.bandcamp.com/,Yes
48807,Mind Rot Records,Hardcore/Punk,active,United States,http://mindrotrecords.limitedrun.com/,Yes
8415,Mind the Gap,Heavy Metal,closed,Norway,,
16544,mIND wARP,,closed,,,
22731,Mind's Eye,,unknown,,,
40453,Mind's Eye Music,,active,,,
4385,Mindart Productions,,closed,Germany,,
16545,Mindblast,,closed,,,
44396,Mindblasting Netlabel,,active,Indonesia,,
41511,MindBlown Records,,unknown,,,
54662,MindDesign Fashion,,unknown,,,
59746,Mindgrinder Productions,,unknown,Sweden,,
16548,Mindharg,,closed,,,
34325,Mindless Music,"Hardcore, Thrash Metal",on hold,United States,,
1593,Mindless Production,"Black, DSBM, Gothic, Dark Ambient, Noise, Doom, Experimental, Industrial",active,Indonesia,http://mindlessproduction666.webs.com/,
31367,Mindless Records,,active,United States,,
47226,Mindplight Recordings,,active,Philippines,http://www.mindplightrecordings.com,
44517,MindProduction,,active,France,,
16550,Mindsanity,,unknown,,,
36572,Mindscrape Music,Extreme Metal,changed name,Brazil,https://web.archive.org/web/20170221014808/https://www.mindscrape.net/,
60021,Mindset Collective,,unknown,United Kingdom,https://www.mindsetcollective.co.uk,
22732,Mindsnap,,unknown,,,
63657,Mindsnap Music,,unknown,United States,,
16551,Mindstorm,,unknown,,,
48946,Mindstorm Productions,,unknown,Switzerland,,
4386,MindstorMMusic,,closed,,,
5692,MindtGash,,closed,,,
16553,Mine's Bigger than Yours,"Stoner, Southern Rock/Metal",closed,United States,,
28727,Miner Records,"Heavy, Thrash, Speed, Black, Death Metal",active,Serbia,http://web.archive.org/web/20160421034123/http://www.miner.rs,
53571,Minga Records,,active,France,https://www.facebook.com/mingarecs/,
39378,Mingi Media Group Ltd,,active,Russia,,
53101,Mingo Music,Rock,closed,Germany,,
43778,Mingya Records,,unknown,,,
53451,Mind Control Records,,unknown,Russia,,
50577,Minimal Impact,,active,Australia,https://minimalimpactnoise.bandcamp.com,Yes
43805,Minion Music,Heavy Metal,closed,Canada,,
8416,Minion Musick,,closed,,,
49099,Ministerio de Cultura del Ecuador,,unknown,Ecuador,,
50509,Ministerios Sangre Inocente,,unknown,Guatemala,,
46438,Ministerios Vox Dei,,unknown,Guatemala,,
5693,Ministries of Blood Recordings,"Ambient, Black Metal, Experimental",unknown,United States,http://myspace.com/ministriesofblood,
16558,Ministry for Infernal Affairs,,unknown,,,
16560,Ministry of Fire,,closed,United States,,
45511,Ministry of Lost Souls Production,,active,Belarus,,
16561,Ministry of Peace,Punk,closed,United States,,
